RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Dewayne Dedmon,Sac,C,30.5,34,15.9,33.1,18.6,20.4,28,0.821,100,0.55,71,0.197,0.444,0.477,5.1,4.9,17.5,0.4,4,0.44,0.76,1.38,5.4,88.3,93.6
,Matthew Dellavedova,Cle,G,29.42,46,12.3,25.6,13.7,22.6,28,0.893,61,0.508,67,0.164,0.371,0.428,2.6,1.1,5.1,2.6,28.2,0.35,0.02,0.89,6.3,97.7,108.8
,DeMar DeRozan,San,F,30.51,52,34.3,71.4,27.1,11.5,352,0.844,805,0.543,29,0.276,0.538,0.604,23,5.7,8.8,5.2,24.4,1.06,0.23,2.46,10.3,117.7,107.6
,Cheick Diallo,Pho,F-C,23.41,36,10,20.8,17.1,16.6,34,0.853,104,0.654,2,0.5,0.656,0.694,4.7,2.8,15.5,0.5,7.2,0.22,0.28,0.67,7.5,120.5,99.8
,Hamidou Diallo,Okc,G,21.53,31,19.3,40.2,17.7,13.3,39,0.667,162,0.494,29,0.172,0.458,0.483,6.5,3.5,9.9,0.6,4.4,0.81,0.19,1.03,5,92,99
,Gorgui Dieng,Min,C,30.06,46,16.9,35.2,18.4,12.7,59,0.797,157,0.497,120,0.383,0.531,0.563,7.4,5.6,17.2,1.3,11.3,0.8,0.91,0.96,8.9,112.3,99.6
,Spencer Dinwiddie,Bro,G,26.85,51,31.1,64.8,29.9,12.4,343,0.773,526,0.483,316,0.316,0.48,0.54,21,3.4,5.6,6.5,34.3,0.69,0.31,2.76,10,110.1,104.1
,Donte DiVincenzo,Mil,G,23.03,47,22.7,47.4,16.8,13.1,56,0.768,186,0.559,169,0.337,0.534,0.556,9,4.7,10,2.3,13.1,1.51,0.28,1.21,8.1,109.8,95.3
,Luka Doncic,Dal,G-F,20.95,43,32.8,68.4,37.3,14.6,388,0.763,487,0.579,392,0.321,0.536,0.59,28.8,9.5,15.1,8.7,46.5,1.02,0.16,4.19,16.3,117.4,103.1
,Luguentz Dort,Okc,G,20.81,18,20.7,43,13.5,10.6,22,0.727,48,0.479,44,0.318,0.478,0.511,5.8,1.4,3.7,0.7,4.4,0.78,0.06,0.67,3.4,100.3,99
,Damyean Dotson,Nyk,G,25.77,44,17.6,36.8,16.4,6.7,32,0.688,116,0.509,150,0.36,0.526,0.539,6.9,1.8,5.5,1.2,10,0.48,0.09,0.45,5.6,110.3,112.5
,Sekou Doumbouya,Det,F,19.13,27,20,41.6,17.4,13,38,0.711,101,0.475,70,0.314,0.474,0.503,7,3.3,9.4,0.4,2.9,0.56,0.26,1.04,4.2,93.4,104.1
,PJ Dozier,Den,G-F,23.29,13,14.4,30,21,11,9,0.667,52,0.481,25,0.24,0.442,0.457,5.7,2.1,7.9,1.8,17.8,0.46,0.38,0.77,7.7,96.4,99.3
,Goran Dragic,Mia,G,33.77,41,28.2,58.7,25.7,15.4,158,0.759,260,0.496,241,0.394,0.542,0.581,16.2,3,5.9,5,28.9,0.63,0.17,2.54,8.9,110.6,106.9
,Andre Drummond,Det,C,26.5,49,33.7,70.3,25.3,18,255,0.584,658,0.546,21,0.048,0.531,0.55,17.8,15.8,26.5,2.8,13.8,1.98,1.67,3.55,11,104.3,97
,Jared Dudley,Lal,F,34.59,35,8.4,17.4,7.6,11.3,2,1,14,0.286,32,0.5,0.609,0.619,1.7,1.1,7.1,0.5,7.5,0.31,0.09,0.17,4.7,122.9,98.4
,Kris Dunn,Chi,G,25.9,51,24.9,51.8,14.6,15.7,54,0.741,230,0.535,112,0.259,0.487,0.51,7.3,3.7,8,3.4,19.8,1.96,0.35,1.33,7.2,103.6,97.8
,Carsen Edwards,Bos,G,21.92,31,9.5,19.8,18,12.1,13,0.846,41,0.341,62,0.306,0.413,0.442,3.1,1.3,7.3,0.7,10,0.32,0.1,0.48,5.9,90.8,101.3
,Henry Ellenson,Bro,F-C,23.07,5,3,6.3,19.4,0,0,0,3,0.333,4,0,0.143,0.143,0.4,1.2,20.4,0.2,8.7,0,0,0,6.1,,
,Wayne Ellington,Nyk,G,32.2,27,15.3,32,15.3,10,10,0.8,25,0.4,105,0.352,0.504,0.517,5.1,1.7,5.9,1,9.2,0.41,0.07,0.56,5.4,103.3,110.5
,Joel Embiid,Phi,C-F,25.9,38,30.5,63.6,31.9,13.5,312,0.814,458,0.509,147,0.333,0.507,0.584,22.8,12,21.6,3.2,17.7,0.79,1.39,3.05,12.5,112.3,95.1
,James Ennis III,Phi,F,29.61,49,15.8,33,15.7,10.6,61,0.787,120,0.525,106,0.349,0.524,0.564,5.8,3.1,10.6,0.8,7.4,0.45,0.31,0.61,6.2,113.1,99.8
,Drew Eubanks,San,F-C,23.02,8,5.2,10.9,22,23.5,3,1,15,0.667,0,0,0.667,0.705,2.9,2.1,21.7,0.3,7.6,0,0.13,0.63,9.4,115.5,102.5
,Jacob Evans,Gol,G-F,22.65,27,15.3,31.9,17.6,14.6,29,0.862,95,0.337,38,0.342,0.387,0.439,4.7,1.5,5.3,1.1,10.9,0.41,0.44,0.93,5.2,86.5,108.4
,Jacob Evans,Min,G-F,22.65,1,1.1,2.3,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Dante Exum,Uta,G,24.58,11,7.6,15.8,17.8,29.5,2,1,17,0.471,6,0.333,0.478,0.503,2.2,1.1,7.8,0.6,11.7,0.09,0.18,0.91,6,83,102.5
,Dante Exum,Cle,G,24.58,20,16.4,34.2,14.8,15.8,34,0.706,53,0.547,28,0.286,0.506,0.552,5.3,2.1,7.1,1.5,12.4,0.5,0.15,0.9,6.2,106.3,112
,Tacko Fall,Bos,C,24.17,6,4,8.4,28.9,18.4,3,0.333,12,0.75,0,0,0.75,0.713,3.2,1.8,24.6,0,0,0.17,0.33,0.5,0,98.3,77.9
,Derrick Favors,Nor,F,28.57,34,24.1,50.1,15.2,14.9,53,0.604,229,0.638,5,0.2,0.63,0.635,9.6,10,21.8,1.8,11,0.56,1.03,1.32,9.2,124.1,103.3
,Cristiano Felicio,Chi,F-C,27.59,14,17.4,36.3,9.6,20,18,0.778,34,0.676,2,0,0.639,0.683,4.3,4.6,14.3,0.5,4,0.43,0.07,0.79,4.9,129.5,105.6
,Terrance Ferguson,Okc,G,21.74,39,25.3,52.7,9,12.9,13,0.769,39,0.641,131,0.313,0.509,0.521,4.7,1.7,3.7,0.9,4.9,0.56,0.31,0.67,3.1,101.8,101.1
,Bruno Fernando,Atl,F-C,21.49,44,12.3,25.5,15.9,19.3,39,0.615,119,0.605,31,0.129,0.52,0.538,4.1,3.3,14.7,0.9,10.3,0.34,0.34,0.91,7.5,102.6,100.3
,Yogi Ferrell,Sac,G,26.76,40,11.2,23.4,18.8,11.9,35,0.857,93,0.495,62,0.306,0.481,0.525,4.5,1.1,5.5,1.4,18,0.33,0.1,0.58,6.8,106.9,110.2
,Dorian Finney-Smith,Dal,F,26.77,53,29.8,62,12.8,11,83,0.723,164,0.573,221,0.385,0.575,0.597,9.5,5.6,9.8,1.5,6.8,0.68,0.55,0.98,5.8,121.8,107
,Bryn Forbes,San,G,26.55,52,25.3,52.8,18.7,8.1,68,0.824,173,0.468,321,0.371,0.525,0.549,11.1,2,4.3,1.9,10.4,0.54,0,0.88,5.5,107.4,111
,Evan Fournier,Orl,G-F,27.28,52,31.6,65.8,24.5,11.4,181,0.829,402,0.505,338,0.405,0.552,0.59,18.6,2.7,4.5,3.2,17.6,1.04,0.17,2.02,6.9,110.7,104.2
,De'Aaron Fox,Sac,G,22.14,34,31.5,65.6,29.6,15.9,223,0.677,405,0.526,107,0.308,0.513,0.554,19.9,4.1,7.4,6.9,37,1.53,0.53,3.38,10.5,108.6,104.7
,Melvin Frazier Jr.,Orl,G-F,23.45,14,3.4,7.1,18.8,9.6,4,0.5,10,0.2,7,0.571,0.471,0.48,1.3,0.3,4.4,0.1,3.1,0.29,0.14,0.14,4,,
,Michael Frazier,Hou,G,25.93,6,9.8,20.3,9.6,14.7,6,0.667,2,0.5,7,0.286,0.444,0.515,2,0.5,2.7,0.2,2.1,0.33,0,0.33,2.4,98.2,97.4
,Tim Frazier,Det,G,29.28,27,13.1,27.4,17.2,25.6,24,0.792,64,0.375,30,0.333,0.415,0.464,3.6,1.2,5.2,3.4,36,0.52,0.11,1.33,7.5,99.2,104.2
,Markelle Fultz,Orl,G,21.7,52,28,58.3,21,15.7,112,0.741,449,0.501,93,0.269,0.484,0.514,11.7,3.5,6.6,4.8,27.8,1.29,0.19,2.12,8.3,101.6,103.7
,Wenyen Gabriel,Sac,F,22.88,11,5.6,11.6,18.8,18.9,10,0.6,9,0.556,8,0.125,0.382,0.444,1.7,0.9,9.2,0.3,6.7,0.27,0.18,0.45,5.5,86.7,102.5
,Wenyen Gabriel,Por,F,22.88,5,8.5,17.7,9,22.2,0,0,5,0.2,2,0,0.143,0.143,0.4,1.2,7.3,0.2,2.8,0.4,0.4,0.4,2.2,45.8,97.5
,Daniel Gafford,Chi,F-C,21.36,33,12.7,26.5,13.7,13.4,38,0.526,100,0.67,0,0,0.67,0.66,4.7,2.4,10.1,0.4,5.1,0.27,1.27,0.55,5.2,122.8,100
,Danilo Gallinari,Okc,F,31.51,45,30.7,63.9,24.2,7.9,218,0.904,270,0.485,332,0.407,0.554,0.619,19.2,5.7,10.2,2.3,11.7,0.64,0.09,1.33,8.2,121.3,107.2
,Langston Galloway,Det,G,28.17,55,25.9,54,15.5,6.5,74,0.851,170,0.488,273,0.399,0.556,0.585,10.1,2.1,4.7,1.5,8.3,0.73,0.16,0.6,4.9,117.4,111.9
,Darius Garland,Cle,G,20.04,52,30.5,63.5,21,17.6,67,0.866,341,0.425,271,0.354,0.472,0.496,12.2,1.9,3.5,3.8,18.4,0.71,0.02,2.63,5.8,94.6,116.1
,Marc Gasol,Tor,C,35.03,35,27.8,58,12.8,14.8,36,0.722,107,0.449,124,0.403,0.532,0.551,7.8,6.4,12.1,3.5,16.9,0.8,0.94,1.23,8,112.7,96.8
,Rudy Gay,San,F-G,33.48,49,21.2,44.1,20.8,13.6,94,0.862,242,0.517,147,0.313,0.499,0.545,9.6,5.4,13.5,1.7,11.5,0.43,0.47,1.39,8.4,104.1,107.9
,Paul George,Lac,F,29.78,32,29.7,61.9,31,13.9,152,0.908,272,0.471,276,0.399,0.535,0.589,22.6,6.1,10.5,4,21.7,1.41,0.5,3.09,11,109.9,99.9
,Taj Gibson,Nyk,F,34.63,51,16.6,34.6,14.6,13.1,40,0.7,224,0.585,11,0.273,0.577,0.592,5.9,4.3,13.8,0.9,8.4,0.45,0.43,0.75,6.8,117.2,102.6
,Harry Giles III,Sac,F-C,21.8,26,12,25.1,20.4,15.7,19,0.842,115,0.53,0,0,0.53,0.559,5.3,3.3,15.3,1.2,15.7,0.5,0.35,0.88,9.2,107.4,91.8
,Shai Gilgeous-Alexander,Okc,G-F,21.58,53,35.6,74.1,24.1,10.1,274,0.81,618,0.502,188,0.346,0.506,0.56,19.6,6.2,9.6,3.2,14.2,1.17,0.68,1.96,8.2,109.9,105.9
,Rudy Gobert,Uta,C,27.62,50,34.5,71.9,16.8,14.8,303,0.611,431,0.687,0,0,0.687,0.688,15.5,14.5,22.8,1.6,6.8,0.66,1.94,1.96,8.2,129.4,97.5
,Brandon Goodwin,Atl,G,24.36,24,13.9,29,23.2,13.4,24,1,83,0.458,68,0.324,0.47,0.514,6.9,2.5,9.5,1.6,18,0.46,0.17,1.04,8.7,100.1,107.5
,Aaron Gordon,Orl,F,24.4,47,31.9,66.5,20.9,10.1,156,0.654,392,0.48,188,0.293,0.466,0.496,13.7,7.3,12.1,3,15,0.79,0.47,1.55,8.4,102.1,103.9
,Eric Gordon,Hou,G,31.12,28,29.4,61.2,22,6.3,89,0.73,127,0.457,247,0.332,0.484,0.517,15.3,2,3.5,1.5,7.3,0.61,0.36,1,4.9,104.7,109.8
,Devonte' Graham,Cha,G,24.97,52,35.2,73.3,24.5,14.8,192,0.818,300,0.38,488,0.377,0.495,0.537,18,3.5,5.5,7.7,36,0.9,0.25,2.92,8.9,109.5,112.8
,Treveon Graham,Min,G-F,26.29,33,20.1,41.9,13.2,9,37,0.73,93,0.452,83,0.241,0.409,0.445,5.2,3.1,8,0.9,6.2,0.52,0.06,0.58,4.9,96.4,106
,Treveon Graham,Atl,G-F,26.29,11,10.5,22,12,11.9,8,0.75,9,0.333,17,0.294,0.404,0.457,2.5,1.9,9.7,0.1,1.1,0.27,0.27,0.36,3,91.6,104.9
,Jerami Grant,Den,F,25.92,52,26.1,54.4,17.4,7.7,137,0.723,267,0.517,177,0.395,0.547,0.58,11.3,3.6,7.5,1.1,6.2,0.65,0.9,0.81,5.4,115.4,104.9
,Josh Gray,Nor,G,26.42,2,11.4,23.6,12.7,71.4,0,0,2,0.5,0,0,0.5,0.5,1,1,4.6,1,10.7,0,0,2.5,3.5,47.1,116.2
,Danny Green,Lal,G,32.64,50,25,52.2,14.6,10.4,44,0.727,114,0.518,254,0.382,0.556,0.569,8.8,3.6,7.8,1.4,7.1,1.24,0.46,0.9,5.7,111.4,101.3
,Draymond Green,Gol,F,29.94,39,29,60.5,15.8,20.5,80,0.75,178,0.466,120,0.283,0.45,0.492,8.4,6.3,11.6,6.1,30.3,1.44,0.82,2.21,9.5,100.9,104.5
,JaMychal Green,Lac,F-C,29.64,44,21,43.8,13.8,13,40,0.725,81,0.494,170,0.359,0.524,0.544,6.6,6.4,15.7,0.8,4.9,0.5,0.39,0.91,6.2,107.9,95.2
,Javonte Green,Bos,G-F,26.55,41,9.1,19,14.3,12.7,36,0.639,71,0.592,23,0.261,0.543,0.569,3,1.7,9.9,0.5,7.7,0.54,0.12,0.39,6,111.4,98.6
,Jeff Green,Uta,F,33.45,30,18.4,38.4,19.7,10.8,63,0.778,91,0.451,104,0.327,0.472,0.523,7.8,2.7,7.9,0.7,5.2,0.4,0.33,0.9,5.3,101.4,102.9
,Blake Griffin,Det,F,30.9,18,28.5,59.3,28.2,12,98,0.776,139,0.439,111,0.243,0.406,0.476,15.5,4.7,9.3,3.3,17.7,0.39,0.39,2.22,8.7,97.1,111
,Marko Guduric,Mem,G,24.93,33,13.2,27.4,17.5,18.7,23,0.913,67,0.478,71,0.296,0.46,0.5,4.5,1.9,7.6,1.2,11.9,0.33,0.21,1.03,6.6,92.8,109.2
,Kyle Guy,Sac,G,22.5,2,2,4.2,21.8,0,0,0,1,1,1,0,0.5,0.5,1,0,0,0,0,0,0,0,0,,
,Rui Hachimura,Was,F,22,28,28.9,60.2,19.8,6.2,60,0.817,282,0.532,54,0.241,0.504,0.535,13.9,6.1,11.4,1.5,7.6,0.71,0.11,0.86,7,110.4,112.4
,Devon Hall,Okc,G,24.6,5,3.9,8.2,17.4,12.9,4,0.75,3,0.333,2,0,0.2,0.37,1,0.2,2.8,0.6,19.6,0,0,0.2,5.1,,
,Tim Hardaway Jr.,Dal,G,27.9,50,27.1,56.4,21.5,7.1,106,0.811,251,0.458,334,0.398,0.538,0.566,14.3,3,5.7,1.9,10.3,0.6,0.08,0.96,6.4,114.1,108.9
,James Harden,Hou,G,30.46,50,37,77.2,36.5,13.4,594,0.867,526,0.534,638,0.356,0.534,0.617,35.2,6.5,9.1,7.3,34.1,1.64,0.96,4.4,12.8,120.2,103.6
,Maurice Harkless,Lac,F-G,26.75,50,22.8,47.5,10.2,16.3,42,0.571,144,0.59,73,0.37,0.578,0.584,5.5,4,9,1,5.5,0.96,0.6,0.92,4.9,108.6,99.3
,Jared Harper,Pho,G,22.41,3,2.6,5.5,21.5,0,0,0,2,0.5,2,0,0.25,0.25,0.7,0,0,0,0,0,0,0,0,,
,Montrezl Harrell,Lac,F-C,26.04,52,28.2,58.7,25.9,10.3,276,0.63,686,0.589,15,0,0.576,0.597,18.9,7,12.7,1.8,10.6,0.63,1.08,1.81,8.8,116.5,102.4
,Gary Harris,Den,G,25.41,44,32.2,67.1,15.3,9.4,74,0.824,245,0.473,177,0.294,0.46,0.494,10.2,3,5,2.2,9.3,1.36,0.25,1.07,5.1,101.8,106.2
,Joe Harris,Bro,G-F,28.43,50,31.3,65.2,17.5,11,65,0.738,258,0.539,297,0.404,0.575,0.588,13.7,4.2,6.9,2.1,10.1,0.66,0.26,1.44,6.3,111.6,105.6
,Shaquille Harrison,Chi,G,26.35,32,7.6,15.8,19.7,9,31,0.742,69,0.449,19,0.368,0.472,0.521,3.3,1.3,9.7,1,19.6,0.5,0.22,0.31,8.6,111,99.1
,Tobias Harris,Phi,F,27.57,54,34.2,71.3,23.4,8.2,162,0.802,583,0.521,264,0.367,0.531,0.56,19.1,6.6,10.6,3,13.9,0.72,0.57,1.52,8.5,110.9,103.9
,Isaiah Hartenstein,Hou,C-F,21.77,22,12,25.1,14.8,16.8,28,0.679,62,0.71,5,0,0.657,0.674,4.9,4.1,17.7,0.8,9.9,0.41,0.55,0.73,8.4,127.4,95.3
,Josh Hart,Nor,G,24.93,46,28.2,58.8,15.4,11.1,74,0.757,129,0.55,271,0.354,0.538,0.562,10.6,6.4,11.9,1.6,7.7,1.11,0.41,1.17,6.8,109.5,104.5
,Udonis Haslem,Mia,F,39.67,2,5.4,11.3,11.3,0,4,0.75,1,1,0,0,1,0.906,2.5,1.5,15.5,0,0,0,0,0,0,190.5,80.2
,Jaxson Hayes,Nor,C-F,19.72,50,18.2,37.8,15.3,11.8,164,0.622,222,0.662,4,0.25,0.657,0.669,8,4.4,12.7,0.9,7.3,0.44,1.04,0.8,7,129,100.8
,Gordon Hayward,Bos,F,29.89,35,32.7,68.1,20.8,11.1,84,0.869,317,0.568,142,0.387,0.572,0.603,17.1,6.5,10.7,4.1,19,0.74,0.43,1.77,9.4,119.2,104.8
,John Henson,Cle,F-C,29.12,29,14.2,29.6,16.1,13.5,33,0.515,89,0.618,31,0.194,0.533,0.539,5,3.9,15.3,1.5,15.4,0.55,1.1,0.72,8.7,111.1,102.1
,John Henson,Det,F-C,29.12,1,17.5,36.5,17.4,14.3,0,0,6,1,0,0,1,1,12,4,12.9,1,11.9,1,0,1,8.3,155,105.3
,Dewan Hernandez,Tor,C-F,23.17,4,2.9,5.9,25.9,14.5,2,1,4,0.25,1,0,0.2,0.34,1,1.8,32.3,0,0,0.25,0,0.25,0,,
,Juancho Hernangomez,Den,F,24.37,34,12.4,25.9,14.2,12.9,25,0.64,50,0.46,60,0.25,0.414,0.442,3.1,2.8,12.3,0.6,6.8,0.15,0.15,0.53,5.6,94.2,105.2
,Juancho Hernangomez,Min,F,24.37,1,26.6,55.4,12.1,0,4,0.75,3,0.333,3,1,0.917,0.902,14,1,2,3,16.8,1,0,0,5.2,186.1,97.8
,Willy Hernangomez,Cha,C-F,25.71,22,10.1,21,26.2,16.6,44,0.591,73,0.603,18,0.278,0.566,0.584,5.9,3.4,18.5,0.6,11.5,0.23,0.23,1,9.1,106.2,102.5
,Tyler Herro,Mia,G,20.06,46,27.7,57.6,22,11.3,79,0.835,277,0.433,252,0.393,0.508,0.535,13.1,4,8.2,2,11.2,0.63,0.15,1.57,6.8,100.7,108
,Kevin Hervey,Okc,F,23.59,6,2.2,4.6,16.7,0,0,0,1,0,4,0,0,0,0,0.3,8.4,0.2,9.1,0,0,0,0,,
,Mario Hezonja,Por,F-G,24.96,39,16.2,33.8,13.8,14,49,0.816,103,0.437,53,0.283,0.433,0.493,4.5,3.6,11.5,0.8,6.1,0.62,0.15,0.74,5.8,98.9,101
,Buddy Hield,Sac,G,26.15,52,33.5,69.7,27,12,110,0.827,380,0.492,518,0.386,0.542,0.563,20.5,5.1,8.5,3.2,15.7,0.87,0.31,2.48,8.3,106.4,107.8
,George Hill,Mil,G,33.77,44,21.1,44,15.7,11.8,67,0.821,152,0.566,131,0.511,0.659,0.685,9.7,3,7,3,18.9,0.73,0.09,0.95,8.4,133.7,99.6
,Solomon Hill,Mem,F,28.9,48,18.8,39.1,13.4,13.9,38,0.684,86,0.465,146,0.384,0.534,0.551,5.7,3,8.5,2,13.3,0.65,0.15,0.83,6.9,108.6,107.1
,Jaylen Hoard,Por,F,20.87,12,7.8,16.2,17.2,10.6,11,0.545,26,0.5,3,0,0.448,0.473,2.7,2.5,16.6,0.3,5.9,0.42,0,0.33,6.5,106.6,103.5
,Aaron Holiday,Ind,G,23.36,49,22.8,47.5,20.5,11.7,54,0.87,257,0.416,179,0.413,0.5,0.525,9.9,2.2,5.3,3.4,21.2,0.76,0.22,1.24,7.4,105.7,105.8
,Jrue Holiday,Nor,G,29.66,44,34.7,72.3,25.6,13.7,130,0.723,508,0.484,258,0.349,0.497,0.52,19.5,4.7,7.1,6.4,28.2,1.7,0.89,2.98,9.6,105.4,109.9
,Justin Holiday,Ind,F-G,30.85,53,25.3,52.7,13.2,6.5,49,0.776,120,0.475,233,0.425,0.582,0.599,8.5,3.4,7.4,1.5,7.7,1.02,0.64,0.49,5.6,118.6,104.9
,Rondae Hollis-Jefferson,Tor,F,25.1,41,19.3,40.2,17.5,11.8,105,0.733,224,0.487,14,0.143,0.471,0.53,7.3,5,13.6,1.8,13,0.93,0.39,0.93,8.4,114.8,96.9
,Richaun Holmes,Sac,F,26.32,37,29.4,61.2,15.9,11.6,93,0.817,310,0.658,0,0,0.658,0.69,13.1,8.5,16.3,1,5.3,1.05,1.41,1.24,6.5,131.8,98.8
,Rodney Hood,Por,G-F,27.31,21,29.5,61.4,13.9,9.4,27,0.778,101,0.515,71,0.493,0.608,0.625,11,3.4,6,1.5,7.1,0.81,0.19,0.9,5.2,120.6,111.3
,Al Horford,Phi,C-F,33.69,49,30.9,64.4,17.8,8.3,54,0.722,332,0.512,218,0.326,0.503,0.516,12.1,6.7,11.9,3.9,18.3,0.94,0.88,1.06,8.8,111.6,103.1
,Talen Horton-Tucker,Lal,G,19.21,2,2.7,5.5,8,0,0,0,0,0,1,0,0,0,0,0,0,1,42.2,0.5,0,0,0,,
,Danuel House Jr.,Hou,F-G,26.68,47,30.8,64.2,13.5,8.6,72,0.778,142,0.5,260,0.377,0.542,0.567,10.5,4.4,7.4,1.3,5.6,1.17,0.57,0.87,5.1,114.4,107.2
,Dwight Howard,Lal,C-F,34.17,51,19.5,40.6,14.5,18.2,140,0.464,212,0.736,5,0.6,0.74,0.693,7.6,7.6,21.4,0.6,4.5,0.45,1.35,1.22,6.7,123.2,90.4
,William Howard,Hou,F-G,26.29,1,12,25,17.1,20,0,0,0,0,4,0,0,0,0,2,8.7,1,9.7,0,0,1,0,13.8,106.4
,Kevin Huerter,Atl,G-F,21.46,43,30.2,62.9,17.5,12.2,57,0.825,207,0.454,249,0.394,0.529,0.55,12.3,4.2,7.5,3.3,16.2,0.84,0.49,1.56,7.3,107.5,110.6
,De'Andre Hunter,Atl,F-G,22.19,51,31.5,65.6,17.8,11.9,114,0.763,313,0.466,242,0.339,0.485,0.516,12.3,3.9,6.7,1.8,8.4,0.75,0.27,1.61,5.6,98.3,110.3
,Chandler Hutchison,Chi,F-G,23.79,27,18.5,38.4,19.2,12.1,76,0.605,128,0.508,35,0.314,0.5,0.532,7.7,3.9,11.4,0.9,7.6,1,0.22,1,6.5,101.8,102.1
,Serge Ibaka,Tor,F,30.4,43,27,56.3,24.3,12.6,103,0.738,405,0.563,126,0.397,0.571,0.592,15.9,8,15.5,1.4,8.6,0.53,0.81,1.93,8.3,109.5,97.1
,Ersan Ilyasova,Mil,F,32.74,48,16,33.2,17.2,8.5,68,0.824,150,0.567,112,0.375,0.565,0.603,7.3,5,15.4,0.9,7.5,0.4,0.27,0.56,8,121.6,93.9
,Joe Ingles,Uta,F-G,32.36,52,30.1,62.7,15.3,17.9,67,0.776,158,0.5,261,0.41,0.572,0.592,10.2,4.1,7.4,5,23.3,0.87,0.13,1.88,7.9,115.2,103.6
,Brandon Ingram,Nor,F,22.44,47,34.1,71,28.5,12.5,289,0.862,552,0.513,295,0.4,0.543,0.6,24.9,6.4,9.8,4.2,20.1,0.96,0.72,2.96,10.3,114.3,107.2
,Kyrie Irving,Bro,G,27.88,20,32.9,68.5,32.6,10.1,102,0.922,274,0.522,142,0.394,0.546,0.595,27.4,5.2,8,6.4,37,1.35,0.5,2.6,11.8,118.7,103.3
,Jonathan Isaac,Orl,F,22.35,32,29.7,61.8,18.4,11.7,73,0.767,231,0.515,91,0.33,0.509,0.542,12,6.9,12.4,1.4,7.3,1.56,2.44,1.47,6.6,105,99.8
,Wes Iwundu,Orl,F,25.14,39,18.4,38.2,13,8,62,0.823,109,0.394,60,0.3,0.414,0.487,4.9,2.5,7.2,1,7.9,0.64,0.26,0.44,5,104.7,103.3
,Jaren Jackson Jr.,Mem,F-C,20.4,51,28,58.4,24.4,10.4,152,0.743,354,0.537,326,0.399,0.566,0.591,17.3,4.8,9,1.4,7.5,0.65,1.65,1.71,7,108.9,100.7
,Frank Jackson,Nor,G,21.77,42,13.2,27.5,20.5,13.8,54,0.778,116,0.483,98,0.296,0.465,0.507,5.7,1.3,5.1,0.7,7.8,0.36,0.1,0.9,5.2,95.9,107.6
,Josh Jackson,Mem,G-F,23,6,17.1,35.6,21.9,18.6,13,0.692,21,0.476,17,0.176,0.382,0.435,6.3,3.7,11.4,0.7,5.1,0.83,0.17,1.67,5.9,80,103.5
,Justin Jackson,Dal,F,24.87,48,16,33.3,16.5,3.7,34,0.853,139,0.475,131,0.305,0.467,0.493,5.9,2.4,7.8,0.7,5.8,0.19,0.13,0.23,5.4,107.2,108.5
,Reggie Jackson,Det,G,29.82,12,26.4,55,27.6,8.4,31,0.774,104,0.404,67,0.403,0.482,0.512,15.8,3.1,6.6,4.8,30.2,0.67,0.08,1.42,9.4,109.5,110.8
,Justin James,Sac,G-F,23.04,29,7.4,15.4,18.4,7.7,19,0.526,50,0.44,25,0.32,0.453,0.468,2.7,1,7.9,0.5,10.2,0.21,0.31,0.24,6,98.6,108
,LeBron James,Lal,F,35.11,49,34.8,72.6,31.3,15.4,267,0.697,650,0.557,303,0.347,0.545,0.572,25,7.7,12.1,10.8,49.9,1.33,0.45,3.98,14.7,115.6,103.8
,Amile Jefferson,Orl,F,26.76,18,4.1,8.6,13.5,13,14,0.357,14,0.357,0,0,0.357,0.372,0.8,1.3,16.4,0.2,7.4,0.06,0.17,0.17,5.8,93,101.2
,DaQuan Jeffries,Sac,G-F,22.45,4,3.5,7.2,9.5,0,0,0,2,0.5,1,0,0.333,0.333,0.5,0.3,4.1,0.3,9.6,0,0,0,4.1,,
